data,explainer,scale,k,recall,precision,ndcg
OCEA,IF,True,10,0.0,0.0,0.0
OCEA,IF,True,20,0.0,0.0,0.0
OCEA,IF,True,30,0.0,0.0,0.0
OCEA,IF,True,40,0.0,0.0,0.0
OCEA,IF,True,50,0.0,0.0,0.0
OCEA,IF,True,60,0.0,0.0,0.0
OCEA,IF,True,70,0.0,0.0,0.0
OCEA,IF,True,80,0.0,0.0,0.0
OCEA,IF,True,90,0.0,0.0,0.0
OCEA,IF,True,100,0.0,0.0,0.0
OCEA,YADEA,False,10,0.0,0.0,0.0
OCEA,YADEA,False,20,0.0,0.0,0.0
OCEA,YADEA,False,30,0.0,0.0,0.0
OCEA,YADEA,False,40,0.0,0.0,0.0
OCEA,YADEA,False,50,0.01,0.02,0.0085059646155848
OCEA,YADEA,False,60,0.01,0.0166666666666666,0.0085059646155848
OCEA,YADEA,False,70,0.01,0.0142857142857142,0.0085059646155848
OCEA,YADEA,False,80,0.01,0.0125,0.0085059646155848
OCEA,YADEA,False,90,0.01,0.0111111111111111,0.0085059646155848
OCEA,YADEA,False,100,0.01,0.01,0.0085059646155848
OCEA,YADEA,True,10,0.0,0.0,0.0
OCEA,YADEA,True,20,0.0,0.0,0.0
OCEA,YADEA,True,30,0.0,0.0,0.0
OCEA,YADEA,True,40,0.0,0.0,0.0
OCEA,YADEA,True,50,0.0,0.0,0.0
OCEA,YADEA,True,60,0.02,0.0333333333333333,0.0161712611564244
OCEA,YADEA,True,70,0.02,0.0285714285714285,0.0161712611564244
OCEA,YADEA,True,80,0.02,0.025,0.0161712611564244
OCEA,YADEA,True,90,0.02,0.0222222222222222,0.0161712611564244
OCEA,YADEA,True,100,0.02,0.02,0.0161712611564244
OCEA,RPS,False,10,0.0,0.0,0.0
OCEA,RPS,False,20,0.0,0.0,0.0
OCEA,RPS,False,30,0.0,0.0,0.0
OCEA,RPS,False,40,0.0,0.0,0.0
OCEA,RPS,False,50,0.0,0.0,0.0
OCEA,RPS,False,60,0.01,0.0166666666666666,0.0083780419796096
OCEA,RPS,False,70,0.01,0.0142857142857142,0.0083780419796096
OCEA,RPS,False,80,0.01,0.0125,0.0083780419796096
OCEA,RPS,False,90,0.01,0.0111111111111111,0.0083780419796096
OCEA,RPS,False,100,0.01,0.01,0.0083780419796096
OCEA,IF,True,10,0.01,0.1,0.020568476416638
OCEA,IF,True,20,0.01,0.05,0.020568476416638
OCEA,IF,True,30,0.01,0.0333333333333333,0.020568476416638
OCEA,IF,True,40,0.01,0.025,0.020568476416638
OCEA,IF,True,50,0.01,0.02,0.020568476416638
OCEA,IF,True,60,0.02,0.0333333333333333,0.0289063232215413
OCEA,IF,True,70,0.03,0.0428571428571428,0.0367793566968727
OCEA,IF,True,80,0.03,0.0375,0.0367793566968727
OCEA,IF,True,90,0.04,0.0444444444444444,0.0442505944502787
OCEA,IF,True,100,0.04,0.04,0.0442505944502787
OCEA,YADEA,False,10,0.0,0.0,0.0
OCEA,YADEA,False,20,0.0,0.0,0.0
OCEA,YADEA,False,30,0.0,0.0,0.0
OCEA,YADEA,False,40,0.0,0.0,0.0
OCEA,YADEA,False,50,0.0,0.0,0.0
OCEA,YADEA,False,60,0.0,0.0,0.0
OCEA,YADEA,False,70,0.0,0.0,0.0
OCEA,YADEA,False,80,0.0,0.0,0.0
OCEA,YADEA,False,90,0.0,0.0,0.0
OCEA,YADEA,False,100,0.0,0.0,0.0
OCEA,YADEA,True,10,0.0,0.0,0.0
OCEA,YADEA,True,20,0.0,0.0,0.0
OCEA,YADEA,True,30,0.0,0.0,0.0
OCEA,YADEA,True,40,0.0,0.0,0.0
OCEA,YADEA,True,50,0.0,0.0,0.0
OCEA,YADEA,True,60,0.0,0.0,0.0
OCEA,YADEA,True,70,0.0,0.0,0.0
OCEA,YADEA,True,80,0.01,0.0125,0.0076912604779635
OCEA,YADEA,True,90,0.01,0.0111111111111111,0.0076912604779635
OCEA,YADEA,True,100,0.01,0.01,0.0076912604779635
OCEA,RPS,False,10,0.01,0.1,0.0170119292311697
OCEA,RPS,False,20,0.01,0.05,0.0170119292311697
OCEA,RPS,False,30,0.01,0.0333333333333333,0.0170119292311697
OCEA,RPS,False,40,0.01,0.025,0.0170119292311697
OCEA,RPS,False,50,0.01,0.02,0.0170119292311697
OCEA,RPS,False,60,0.02,0.0333333333333333,0.0252727062157077
OCEA,RPS,False,70,0.02,0.0285714285714285,0.0252727062157077
OCEA,RPS,False,80,0.02,0.025,0.0252727062157077
